Accession ID,Latitude,Longitude,Altitude,Country
PI370867,46.517,8.15,0,Switzerland
PI370869,46.517,8.15,0,Switzerland
PI370963,46.567,8.283,0,Switzerland
PI370966,46.617,8.367,0,Switzerland
PI370970,46.617,8.367,0,Switzerland
PI370983,47.201,8.215,0,Switzerland
PI370994,46.684,8.467,0,Switzerland
PI371017,46.684,8.484,0,Switzerland
PI371056,46.484,7.617,0,Switzerland
PI371069,46.368,8.001,0,Switzerland
PI371079,46.551,8.168,0,Switzerland
PI371100,46.568,8.284,0,Switzerland
PI371102,46.568,8.284,0,Switzerland
PI371105,46.585,8.285,0,Switzerland
PI371111,46.401,7.585,0,Switzerland
PI371149,46.318,7.701,0,Switzerland
PI371156,46.402,7.785,0,Switzerland
PI371172,46.385,7.802,0,Switzerland
PI371196,46.352,8.119,0,Switzerland
PI371217,46.369,8.002,0,Switzerland
PI371245,46.969,9.652,0,Switzerland
PI371248,46.935,9.602,0,Switzerland
PI371275,46.986,9.319,0,Switzerland
PI371298,46.486,7.652,0,Switzerland
PI371320,46.952,8.886,0,Switzerland
PI371323,46.886,9.069,0,Switzerland
PI371327,46.869,9.436,0,Switzerland
PI371335,46.853,9.053,0,Switzerland
PI371338,46.853,9.053,0,Switzerland
PI371377,46.97,10.353,0,Switzerland
PI371384,47.153,10.603,0,Switzerland
PI371390,47.003,10.436,0,Switzerland
PI371392,47.003,10.437,0,Switzerland
PI371441,46.853,9.787,0,Switzerland
PI371477,46.837,9.62,0,Switzerland
PI371490,46.954,9.304,0,Switzerland
CIho10549,35.204,38.204,0,Syria
